,codimap_category,codimap_title,codimap_date,views,comment_numbers,codimap_explain,codimap_hashtag,codimap_imgurl
53,포멀,데이트 룩 완성!,21.02.08,"10,461",5,"미니멀 무드의 코트와 카디건, 슬랙스를 연출하고 스니커즈로 마무리한 세미 포멀 룩","#봄,#포멀,#무신사 스탠다드,#겨울 싱글 코트,#디지털,#페도라,#반소매 티셔츠,#카디건,#벨트,#니트/스웨터,#캔버스/단화,#슈트 팬츠/슬랙스,#안경 소품,#토이",https://image.msscdn.net/images/codimap/detail/1765/detail_1765_1_500.jpg?202307132307
54,캐주얼,편하게 멋 내봐,21.09.08,"11,401",5,편하게 입기 좋은 스웨트셔츠와 데님 팬츠를 연출하고 백팩으로 완성한 캐주얼 룩,"#오버핏,#워싱,#캠퍼스,#꾸안꾸,#레이어드룩,#남친룩,#가을,#캐주얼,#제이반스 클래식,#커버낫,#페이탈리즘,#나이키,#팔찌,#백팩,#데님 팬츠,#기타 스니커즈,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/6495/detail_6495_1_500.jpg?202307132307
55,댄디,레이어드 코디,21.06.10,"2,570",5,그라데이션 디테일이 매력적인 베스트와 티셔츠를 레이어드하고 와이드 팬츠로 멋을 더한 댄디 룩,"#레이어드룩,#그라데이션,#남친룩,#여름,#댄디,#앤더슨벨,#펜디,#슬리퍼,#숄더백",https://image.msscdn.net/images/codimap/detail/3620/detail_3620_1_500.jpg?202307132307
56,캐주얼,그린 포인트!,21.05.28,"5,431",5,"그린 컬러가 돋보이는 반팔 니트와 숏 팬츠를 연출하고 토트백, 첼시 부츠로 완성한 캐주얼 룩","#파스텔,#피크닉,#봄,#캐주얼,#타게토,#닥터마틴,#108서울,#아메스 월드와이드,#리,#선글라스,#부츠,#기타 스니커즈,#헤어 액세서리,#니트/스웨터,#숄더백",https://image.msscdn.net/images/codimap/detail/3341/detail_3341_1_500.jpg?202307132307
57,캐주얼,트렌디해!,21.12.24,"2,704",5,디테일이 매력적인 롱스커트와 카디건을 코디하고 비니로 멋을 더한 캐주얼 룩,"#화사한,#편안한,#캠퍼스,#꾸안꾸,#파스텔,#원마일웨어,#겨울,#캐주얼,#라퍼지스토어,#아이러니포르노 화이트라인,#인사일런스 우먼,#페넥,#핑크파인애플,#시티브리즈,#포즈간츠,#숏패딩/숏헤비 아우터,#카디건,#토트백,#비니,#캔버스/단화",https://image.msscdn.net/images/codimap/detail/10552/detail_10552_1_500.jpg?202307132307
58,캐주얼,가볍게 툭!,21.05.31,"3,440",5,로고 프린팅이 돋보이는 반팔 티셔츠와 데님 팬츠를 매치하고 플로럴 패턴 에코백으로 포인트를 준 캐주얼 룩,"#편안한,#로고플레이,#플라워,#슬림핏,#찢청,#봄,#캐주얼,#캐치볼,#소곤소곤,#닉앤니콜,#오드스튜디오,#하카블랙스,#캔버스/단화,#에코백,#잡지/무크지,#안경,#셔츠/블라우스,#반소매 티셔츠,#팔찌",https://image.msscdn.net/images/codimap/detail/3369/detail_3369_1_500.jpg?202307132307
59,캐주얼,레트로 무드,21.03.12,"11,483",5,스트라이프 패턴이 돋보이는 카라 티셔츠와 와이드 핏의 데님 팬츠를 매치하고 레트로한 무드가 느껴지는 안경으로 마무리한 캐주얼 룩,"#봄,#캐주얼,#캉골,#퍼블릭아이콘,#디스이즈네버댓,#루킹포유,#커버낫,#메신저/크로스 백,#기타 컬처,#데님 팬츠,#안경 소품,#헌팅캡/베레모,#캔버스/단화,#안경,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/2235/detail_2235_1_500.jpg?202307132307
60,캐주얼,봄 코디로 딱!,21.03.23,"7,126",5,산뜻한 분위기의 카디건과 데님 팬츠로 완성한 캐주얼 룩,"#봄,#캐주얼,#와릿이즌,#뎃츠잇,#닥터마틴,#빈폴 액세서리,#라츠,#셔츠/블라우스,#반소매 티셔츠,#목걸이/펜던트,#구두,#벨트,#데님 팬츠",https://image.msscdn.net/images/codimap/detail/2361/detail_2361_1_500.jpg?202307132307
61,포멀,데이트 룩 완성!,21.02.08,"10,461",5,"미니멀 무드의 코트와 카디건, 슬랙스를 연출하고 스니커즈로 마무리한 세미 포멀 룩","#봄,#포멀,#무신사 스탠다드,#겨울 싱글 코트,#디지털,#페도라,#반소매 티셔츠,#카디건,#벨트,#니트/스웨터,#캔버스/단화,#슈트 팬츠/슬랙스,#안경 소품,#토이",https://image.msscdn.net/images/codimap/detail/1765/detail_1765_1_500.jpg?202307132307
62,아메리칸 캐주얼,멋있는 실루엣,22.01.28,"4,836",5,코듀로이 셔츠와 베스트를 스타일링하고 코튼 팬츠로 마무리한 아메리칸 캐주얼 룩,"#아메카지,#뉴트럴톤,#벌룬핏,#오버핏,#레이어드룩,#퍼,#코듀로이,#핀턱,#겨울,#아메리칸 캐주얼,#프리즘웍스,#클레망,#오버다인,#다이아몬드 레이라,#사운즈라이프,#숏패딩/숏헤비 아우터,#비니,#구두,#로퍼,#메신저/크로스 백,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/11872/detail_11872_1_500.jpg?202307132307
63,캐주얼,가볍게 툭!,21.05.31,"3,440",5,로고 프린팅이 돋보이는 반팔 티셔츠와 데님 팬츠를 매치하고 플로럴 패턴 에코백으로 포인트를 준 캐주얼 룩,"#편안한,#로고플레이,#플라워,#슬림핏,#찢청,#봄,#캐주얼,#캐치볼,#소곤소곤,#닉앤니콜,#오드스튜디오,#하카블랙스,#캔버스/단화,#에코백,#잡지/무크지,#안경,#셔츠/블라우스,#반소매 티셔츠,#팔찌",https://image.msscdn.net/images/codimap/detail/3369/detail_3369_1_500.jpg?202307132307
64,캐주얼,데일리 캠퍼스 룩,22.04.01,"4,076",5,편하게 입기 좋은 후드 티셔츠와 데님 팬츠를 매치하고 숄더백으로 마무리한 캐주얼 룩,"#로고플레이,#콜라보,#오버핏,#와이드핏,#워싱,#캠퍼스,#파스텔,#봄,#캐주얼,#컨버스,#브랜디드,#비전스트릿웨어,#3130스튜디오,#씨네드,#캔버스/단화,#데님 팬츠,#후드 티셔츠,#케이스/슬리브,#숄더백",https://image.msscdn.net/images/codimap/detail/14269/detail_14269_1_500.jpg?202307132307
65,스트릿,서머 스트릿,21.06.10,"2,656",5,유니크한 프린팅이 돋보이는 팬츠와 반팔 티셔츠를 매치하고 크로스 백으로 멋을 더한 스트릿 룩,"#컬러포인트,#유니크,#그래픽,#여름,#스트릿,#뎃츠잇,#알렌느,#오니츠카타이거,#노우웨이브,#팔렛,#지샥,#목걸이/펜던트,#메신저/크로스 백,#기타 컬처,#코튼 팬츠,#반소매 티셔츠,#디지털",https://image.msscdn.net/images/codimap/detail/3633/detail_3633_1_500.jpg?202307132307
66,스트릿,스트라이프 활용법,21.02.19,"2,802",5,데미지 디테일이 돋보이는 스트라이프 니트에 카고 팬츠를 매치하고 하이 탑 스니커즈로 마무리한 스트릿 룩,"#봄,#스트릿,#로파이,#베이어다이나믹,#플레어업,#어나더유스,#앤더슨벨,#레더/라이더스 재킷,#기타 시계,#캡/야구 모자,#헤드폰,#트레이닝/조거 팬츠,#목걸이/펜던트",https://image.msscdn.net/images/codimap/detail/1937/detail_1937_1_500.jpg?202307132307
67,스트릿,따라 입고 싶어,21.08.30,"1,981",5,컬러 블록이 돋보이는 윈드브레이커와 타이다이 티셔츠를 스타일링하고 조거 팬츠로 완성한 스트릿 룩,"#컬러블록,#타이다이,#그래픽,#페스티벌,#여름,#스트릿,#써치410,#논논,#어피스오브케이크,#스컬프터,#버킷/사파리햇,#목걸이/펜던트,#긴소매 티셔츠,#트레이닝/조거 팬츠",https://image.msscdn.net/images/codimap/detail/6116/detail_6116_1_500.jpg?202307132307
68,캐주얼,센스 있어 보여,21.08.19,"2,094",5,크롭 니트에 데님 팬츠를 매치하고 스니커즈로 멋을 더한 캐주얼 룩,"#럭셔리,#찢청,#부츠컷,#하이웨이스트,#크롭,#여름,#캐주얼,#구찌,#앤더슨벨 포 우먼,#버버리,#디올,#팔찌,#숄더백,#캔버스/단화",https://image.msscdn.net/images/codimap/detail/5721/detail_5721_1_500.jpg?202307132307
69,아메리칸 캐주얼,아메카지 무드,22.11.10,"5,087",5,패턴 디테일이 매력적인 베스트와 셔츠를 레이어드하고 코튼 팬츠로 완성한 아메리칸 캐주얼 룩,"#겨울,#아메리칸 캐주얼,#사운즈라이프,#윙스풋,#제이반스 클래식,#테이크이지,#포디어웍스,#프라이노크,#후브스,#아메카지,#레이어드룩,#뉴트럴톤,#벌룬핏,#머플러,#메신저/크로스 백,#셔츠/블라우스,#코튼 팬츠,#니트/스웨터,#캔버스/단화,#숏패딩/숏헤비 아우터",https://image.msscdn.net/images/codimap/detail/19699/detail_19699_1_500.jpg?202307132307
70,캐주얼,캐주얼 룩의 정석,21.03.12,"10,978",5,스트라이프 패턴이 돋보이는 카라 티셔츠와 치노 팬츠를 매치하고 오렌지 컬러의 캠프캡으로 포인트 준 캐주얼 룩,"#봄,#캐주얼,#유니폼브릿지,#커버낫,#캡/야구 모자,#에코백,#코튼 팬츠,#캔버스/단화,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/2237/detail_2237_1_500.jpg?202307132307
71,스트릿,힙한 무드,21.08.24,"4,518",5,그래픽이 돋보이는 반팔 티셔츠에 후드 티셔츠를 더하고 조거 팬츠로 완성한 스트릿 룩,"#모노톤,#그래픽,#유니크,#페스티벌,#크롭,#레이어드룩,#여름,#스트릿,#스컬프터,#제로플래닛,#배디,#시티브리즈,#네스티팬시클럽,#트레이닝/조거 팬츠,#숄더백,#후드 티셔츠,#반소매 티셔츠,#목걸이/펜던트",https://image.msscdn.net/images/codimap/detail/5873/detail_5873_1_500.jpg?202307132307
72,캐주얼,스쿨 룩의 정석,21.08.03,"2,380",4,그래픽이 돋보이는 반팔 티셔츠와 데님 팬츠를 매치한 후 스니커즈로 포인트를 준 캐주얼 룩,"#그래픽,#캠퍼스,#남친룩,#꾸안꾸,#여름,#캐주얼,#벤 데이비스,#컨버스,#유니폼브릿지,#지샥,#나이스고스트클럽,#백팩,#기타 컬처,#캔버스/단화,#데님 팬츠,#디지털",https://image.msscdn.net/images/codimap/detail/5161/detail_5161_1_500.jpg?202307132307
73,걸리시,플라워 향연,21.05.17,795,4,플라워 패턴이 돋보이는 블라우스와 미니스커트를 코디하고 로퍼를 더해 마무리한 걸리시 룩,"#봄,#걸리시,#플레이노모어,#시눈,#펄리모어,#인스턴트펑크,#숄더백,#셔츠/블라우스,#목걸이/펜던트,#미니스커트",https://image.msscdn.net/images/codimap/detail/3186/detail_3186_1_500.jpg?202307132307
74,캐주얼,모노 톤 스타일링,21.08.09,"9,328",4,그레이 컬러 셔츠와 린넨 팬츠를 매치하고 볼캡과 크로스 백으로 연출한 캐주얼 룩,"#모노톤,#와이드핏,#미니멀,#레더,#남친룩,#스트라이프,#여름,#캐주얼,#몬스터리퍼블릭,#리,#닥터마틴,#라퍼지스토어,#메신저/크로스 백,#캡/야구 모자,#슬리퍼,#코튼 팬츠",https://image.msscdn.net/images/codimap/detail/5349/detail_5349_1_500.jpg?202307132307
75,캐주얼,꾸안꾸 코디,21.08.20,"6,007",4,스트라이프 패턴이 돋보이는 티셔츠와 조거 팬츠를 매치하고 볼캡으로 완성한 캐주얼 룩,"#편안한,#로고플레이,#스트라이프,#여름,#캐주얼,#마지언타이틀,#휠라,#컨버스,#스컬프터,#메신저/크로스 백,#캡/야구 모자,#트레이닝/조거 팬츠,#긴소매 티셔츠",https://image.msscdn.net/images/codimap/detail/5807/detail_5807_1_500.jpg?202307132307
76,로맨틱,로맨틱한 실루엣,21.02.19,"2,153",4,아이보리 컬러의 니트에  미디스커트를 매치하고 앵클부츠로 마무리한 로맨틱 룩,"#봄,#로맨틱,#리올그,#엘칸토,#애노드레브,#페이드마인,#에잇세컨즈,#미디스커트,#부츠,#숄더백,#목걸이/펜던트",https://image.msscdn.net/images/codimap/detail/1942/detail_1942_1_500.jpg?202307132307
77,스트릿,유니크한 매치,21.03.15,"1,635",4,로고 디테일이 돋보이는 블레이저 재킷과 유니크한 패턴의 데님 팬츠로 완성한 스트릿 룩,"#봄,#스트릿,#뎃츠잇,#이스트쿤스트,#리복,#라츠,#엠엘비,#볼컴,#목걸이/펜던트,#반소매 티셔츠,#패션스니커즈화,#데님 팬츠,#캡/야구 모자",https://image.msscdn.net/images/codimap/detail/2247/detail_2247_1_500.jpg?202307132307
78,캐주얼,센스 있는 조합,21.07.26,"5,873",4,그래픽이 돋보이는 반팔 티셔츠와 벌룬 팬츠를 매치하고 목걸이로 포인트를 준 캐주얼 룩,"#그래픽,#오버핏,#벌룬핏,#캠퍼스,#꾸안꾸,#여름,#캐주얼,#쿼르코어,#커스텀에이드,#미니멀프로젝트,#리끌로우,#언아웃핏,#비바스튜디오,#목걸이/펜던트,#캔버스/단화,#데님 팬츠,#안경 소품,#안경,#백팩,#반소매 티셔츠",https://image.msscdn.net/images/codimap/detail/4854/detail_4854_1_500.jpg?202307132307
79,캐주얼,백팩이 포인트!,21.07.28,"4,524",4,아가일 패턴이 돋보이는 베스트에 데님 팬츠를 코디하고 백팩으로 포인트를 준 캐주얼 룩,"#아가일,#와이드핏,#그래픽,#캠퍼스,#화사한,#여름,#캐주얼,#반스,#오에스티,#트립션,#로에일,#척,#1993스튜디오,#캔버스/단화,#쿼츠 아날로그,#반려동물용품,#셔츠/블라우스,#반소매 티셔츠,#데님 팬츠,#베스트,#백팩",https://image.msscdn.net/images/codimap/detail/4927/detail_4927_1_500.jpg?202307132307
80,댄디,깔끔한 레이어드,21.07.16,"13,448",4,니트 베스트에 반팔 티셔츠를 레이어드하고 데님 팬츠로 마무리한 댄디 룩,"#미니멀,#남친룩,#데이트,#레더,#여름,#댄디,#페이탈리즘,#몬스터리퍼블릭,#로스트가든,#블론드나인,#브렌슨,#데님 팬츠,#안경 소품,#메신저/크로스 백,#안경,#구두,#베스트,#반소매 티셔츠",https://image.msscdn.net/images/codimap/detail/4551/detail_4551_1_500.jpg?202307132307
81,스트릿,힙한 매력,20.11.09,"5,112",4,터틀넥 티셔츠와 패턴 베스트를 레이어드하고 컬러 볼캡과 어글리 슈즈로 포인트를 준 스트릿 룩,"#가을,#스트릿,#유니어패럴,#큐리티,#나이키,#블러1.0,#아코스튜디오스페이스,#반소매 티셔츠,#맨투맨/스웨트셔츠,#샌들,#트레이닝/조거 팬츠,#안경 소품,#패션스니커즈화,#캡/야구 모자,#베스트,#귀걸이",https://image.msscdn.net/images/codimap/detail/496/detail_496_1_500.jpg?202307132307
82,캐주얼,추천 캠퍼스 코디,22.08.25,"15,008",4,로고 포인트의 스웨트셔츠와 데님 팬츠를 스타일링하고 스니커즈로 연출한 캐주얼 룩,"#로고플레이,#자수,#캠퍼스,#꾸안꾸,#여름,#캐주얼,#네이키드니스,#반스,#사운즈라이프,#신지모루,#예일,#백팩,#캔버스/단화,#데님 팬츠,#시계 용품,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/18371/detail_18371_1_500.jpg?202307132307
83,스트릿,조거 팬츠가 대세,20.10.29,"28,157",4,캐주얼 무드의 니트와 조거 팬츠를 매치하고 하이탑 스니커즈로 마무리한 스트릿 룩,"#가을,#스트릿,#제로,#쇼브오프,#라퍼지스토어,#크리틱,#트레이닝/조거 팬츠,#액자/포스터,#팔찌,#메신저/크로스 백,#니트/스웨터",https://image.msscdn.net/images/codimap/detail/326/detail_326_1_500.jpg?202307132307
84,캐주얼,캐주얼의 정석,21.01.04,"9,380",4,보온성을 더해줄 퍼 재킷에 스웨트셔츠와 스웨트 팬츠를 매치하고 블루 컬러 아이템으로 포인트를 준 이지 캐주얼 룩,"#겨울,#캐주얼,#바이시클트로피,#컨버스,#아웃스탠딩,#예일,#후아유,#팔찌,#캔버스/단화,#트레이닝/조거 팬츠,#맨투맨/스웨트셔츠,#캡/야구 모자",https://image.msscdn.net/images/codimap/detail/1277/detail_1277_1_500.jpg?202307132307
85,로맨틱,상큼하게 화사하게,21.08.18,"1,727",4,그래픽 프린팅이 돋보이는 원피스에 숄더백을 더해 완성한 로맨틱 룩,"#그래픽,#화사한,#폭염,#빈티지,#여름,#로맨틱,#펄리모어,#세이모 온도,#트윗비피,#배디,#로이드,#팔찌,#숄더백,#슬리퍼,#미니 원피스,#귀걸이",https://image.msscdn.net/images/codimap/detail/5679/detail_5679_1_500.jpg?202307132307
86,캐주얼,편하고 멋있게,21.07.14,"10,369",4,오버 핏 반팔 셔츠에 벌룬 숏 팬츠를 매치하고 버킷햇으로 멋을 더한 캐주얼 룩,"#오버핏,#벌룬핏,#시티보이룩,#로고플레이,#여름,#캐주얼,#트래블,#라퍼지스토어,#셔츠/블라우스,#메신저/크로스 백",https://image.msscdn.net/images/codimap/detail/4437/detail_4437_1_500.jpg?202307132307
87,포멀,담백한 실루엣,21.11.04,"3,708",4,와펜 디테일이 돋보이는 카디건과 슬랙스를 스타일링한 후 백팩으로 마무리한 포멀 룩,"#모노톤,#체크,#단정한,#핀턱,#출근룩,#레더,#와펜,#가을,#포멀,#비욘드클로젯,#쌤소나이트,#제로라운지,#트릴리온,#락포트,#수아레,#주앙옴므,#카디건,#백팩,#머플러,#셔츠/블라우스,#구두,#슈트 팬츠/슬랙스",https://image.msscdn.net/images/codimap/detail/8674/detail_8674_1_500.jpg?202307132307
88,시크,넘볼 수 없는 분위기,21.05.24,"1,657",4,유니크한 그래픽이 돋보이는 튜브 탑과 와이드 팬츠로 연출한 시크 룩,"#그래픽,#모노톤,#봄,#시크,#레이지던,#블랑토,#유즈,#블랭크룸,#엣클립,#귀걸이,#힐/펌프스,#코튼 팬츠,#숄더백",https://image.msscdn.net/images/codimap/detail/3250/detail_3250_1_500.jpg?202307132307
89,캐주얼,체크 패턴 활용법,20.10.29,"3,078",4,그린 컬러 니트와 슬랙스를 매치하고 안경으로 마무리한 이지 캐주얼 룩,"#가을,#캐주얼,#어커버,#유니폼브릿지,#미나브,#르네 하우윈,#슈트 팬츠/슬랙스,#안경 소품,#반소매 티셔츠,#셔츠/블라우스,#안경",https://image.msscdn.net/images/codimap/detail/330/detail_330_1_500.jpg?202307132307
90,댄디,깔끔한 무드,21.10.01,"9,099",4,깔끔한 실루엣의 블루종에 니트와 데님 팬츠를 코디하고 앵클부츠로 마무리한 댄디 룩,"#미니멀,#남친룩,#오버핏,#레더,#데이트,#가을,#댄디,#테이크이지,#이오유스튜디오,#로스트가든,#피스워커,#프록시엘,#라퍼지스토어,#반소매 티셔츠,#니트/스웨터,#목걸이/펜던트,#부츠,#데님 팬츠,#브리프케이스",https://image.msscdn.net/images/codimap/detail/7394/detail_7394_1_500.jpg?202307132307
91,캐주얼,서머 캐주얼,21.05.28,"3,821",4,오버 핏 반팔 셔츠와 숏 팬츠를 매치하고 틴트 선글라스로 포인트를 더한 캐주얼 룩,"#오버핏,#컬러포인트,#화사한,#봄,#캐주얼,#반스,#파르티멘토,#티미드프리크,#엠엘비,#아웃도어 프로덕츠,#캔버스/단화,#숏 팬츠,#선글라스,#액자/포스터,#버킷/사파리햇",https://image.msscdn.net/images/codimap/detail/3351/detail_3351_1_500.jpg?202307132307
92,캐주얼,활동하기 최고,21.09.23,"6,265",4,편하게 입기 좋은 스웨트셔츠와 블루종을 연출하고 스니커즈로 완성한 이지 캐주얼 룩,"#카고,#와이드핏,#편안한,#원마일웨어,#로고플레이,#가을,#캐주얼,#라퍼지스토어,#챕터에잇,#지프,#인터섹션,#데이트,#안경 소품,#디퓨저/캔들,#캡/야구 모자,#맨투맨/스웨트셔츠,#블루종/MA-1,#기타 스니커즈",https://image.msscdn.net/images/codimap/detail/7069/detail_7069_1_500.jpg?202307132307
93,캐주얼,캠퍼스 코디 추천,22.04.29,"17,902",4,로고가 돋보이는 반팔 티셔츠와 와이드 핏 팬츠를 매치한 후 볼캡으로 마무리한 캐주얼 룩,"#캠퍼스,#로고플레이,#와이드핏,#컬러포인트,#봄,#캐주얼,#카비시,#수아레,#널디,#우알롱,#케이스/슬리브,#반소매 티셔츠,#코튼 팬츠,#기타 스니커즈,#캡/야구 모자",https://image.msscdn.net/images/codimap/detail/15351/detail_15351_1_500.jpg?202307132307
94,댄디,멋이란 이런 것,21.09.13,"3,233",4,담백한 실루엣의 셔츠와 니트 베스트를 레이어드하고 슬랙스를 더해 완성한 댄디 룩,"#레이어드룩,#모노톤,#와이드핏,#핀턱,#미니멀,#데이트,#레더,#가을,#댄디,#유니폼브릿지,#벨룻,#아노블리어,#드로우핏,#유니온블루,#비바스튜디오,#슈트 팬츠/슬랙스,#안경 소품,#액자/포스터,#구두,#베스트,#메신저/크로스 백,#팔찌,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/6646/detail_6646_1_500.jpg?202307132307
95,걸리시,더플코트 코디,21.01.29,"1,713",4,카라 디테일이 돋보이는 더플코트와 스웨트셔츠를 매치하고 미니스커트로 완성한 걸리시 룩,"#겨울,#걸리시,#로맨틱크라운,#더 로켓,#더블유브이프로젝트,#조셉앤스테이시,#스파오,#닥터마틴,#양말,#미니스커트,#맨투맨/스웨트셔츠,#장갑,#겨울 기타 코트,#부츠,#기타 스니커즈",https://image.msscdn.net/images/codimap/detail/1654/detail_1654_1_500.jpg?202307132307
96,캐주얼,꾸안꾸 무드,21.12.16,"5,133",4,스트라이프 패턴이 돋보이는 스웨트셔츠와 트레이닝 팬츠를 매치하고 스니커즈로 마무리한 캐주얼 룩,"#스트라이프,#편안한,#꾸안꾸,#캠퍼스,#핀턱,#겨울,#캐주얼,#언더컨트롤,#제로,#테이크이지,#슈마커,#세븐피겨스,#뱅앤올룹슨,#비니,#트레이닝/조거 팬츠,#맨투맨/스웨트셔츠,#롱패딩/롱헤비 아우터,#헤드폰",https://image.msscdn.net/images/codimap/detail/10248/detail_10248_1_500.jpg?202307132307
97,캐주얼,어울리는 조합,21.07.02,"2,058",4,그래픽 티셔츠에 숏 팬츠와 스니커즈를 더해 완성한 캐주얼 룩,"#레터링,#그래픽,#캠퍼스,#여름,#캐주얼,#베이크솔,#커버낫,#리복,#누깍,#캔버스/단화,#버킷/사파리햇,#토트백",https://image.msscdn.net/images/codimap/detail/4027/detail_4027_1_500.jpg?202307132307
98,캐주얼,산뜻한 컬러,20.10.27,"15,643",4,산뜻한 매력의 오렌지 스웨트셔츠에 크림 진을 매치하고 스웨이드 스니커즈로 마무리한 캠퍼스 룩,"#가을,#캐주얼,#오버캐스트,#유니폼브릿지,#폭스바겐 와치,#제로,#타미진스,#뉴발란스,#캡/야구 모자,#반소매 티셔츠,#디지털,#미니스커트,#트레이닝/조거 팬츠,#안경 소품,#웨이스트 백",https://image.msscdn.net/images/codimap/detail/232/detail_232_1_500.jpg?202307132307
99,캐주얼,훈훈 남친 룩,21.02.24,"11,900",4,오버사이즈 핏 스웨트셔츠에 블루 컬러 셔츠를 레이어드하고 퍼티그 팬츠와 스니커즈로 완성한 캐주얼 룩,"#봄,#캐주얼,#유니폼브릿지,#뉴발란스,#커버낫,#안경 소품,#백팩,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/1990/detail_1990_1_500.jpg?202307132307
100,걸리시,언제나 귀여워,21.08.20,"3,274",4,"퍼프소매가 돋보이는 미디 원피스에 카디건을 더하고, 플랫 슈즈로 완성한 걸리시 룩","#피크닉,#화사한,#체크,#여친룩,#여름,#걸리시,#마이부,#헤더먼트,#오뜨르 뒤 몽드,#위아이윤,#락피쉬웨더웨어,#목걸이/펜던트,#카디건,#미니 원피스,#헤어 액세서리,#숄더백,#힐/펌프스",https://image.msscdn.net/images/codimap/detail/5782/detail_5782_1_500.jpg?202307132307
101,댄디,블랙의 멋,21.10.26,"16,829",4,깔끔한 실루엣의 터틀넥 니트와 데님 팬츠를 코디하고 레더 재킷으로 마무리한 댄디 룩,"#레더,#모노톤,#데이트,#슬림핏,#가을,#댄디,#플랙,#에이징씨씨씨,#카시오,#닉앤니콜 포 맨,#로맨틱무브,#드로우핏,#데님 팬츠,#안경 소품,#액자/포스터,#레더/라이더스 재킷,#쿼츠 아날로그,#토트백,#부츠,#니트/스웨터",https://image.msscdn.net/images/codimap/detail/8281/detail_8281_1_500.jpg?202307132307
102,포멀,트렌디한 출근 룩,21.10.06,"11,691",4,단정한 셔츠와 슈트 셋업을 매치하고 더비 슈즈로 완성한 포멀 룩,"#셋업코디,#출근룩,#단정한,#격식,#미니멀,#가을,#포멀,#마노모스,#닥터마틴,#라퍼지스토어,#수아레,#안경,#구두,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/7530/detail_7530_1_500.jpg?202307132307
103,아메리칸 캐주얼,벌룬 팬츠 활용법,21.06.15,"3,149",4,편하게 입기 좋은 반팔 셔츠와 벌룬 팬츠를 코디하고 슬리퍼로 마무리한 아메리칸 캐주얼 룩,"#아메카지,#벌룬핏,#오버핏,#꾸안꾸,#여름,#아메리칸 캐주얼,#오버다인,#한글안경,#더블유브이프로젝트,#버켄스탁,#에스피오나지,#메신저/크로스 백,#안경,#코튼 팬츠,#샌들,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/3726/detail_3726_1_500.jpg?202307132307
104,댄디,체크의 매력,21.06.21,"1,379",4,자수 디테일의 티셔츠와 체크 팬츠를 매치하고 슬리퍼로 완성한 댄디 룩,"#체크,#럭셔리,#남친룩,#그래픽,#여름,#댄디,#앤더슨벨,#보테가베네타,#키링/키케이스,#슬리퍼,#메신저/크로스 백",https://image.msscdn.net/images/codimap/detail/3804/detail_3804_1_500.jpg?202307132307
105,댄디,매력적인 댄디 룩,21.08.02,"3,561",4,담백한 실루엣의 반팔 셔츠와 슬랙스를 연출하고 토트백으로 완성한 댄디 룩,"#와이드핏,#데이트,#레더,#미니멀,#여름,#댄디,#하프크라이즈 레이아웃,#제로,#스칼렛또블랙,#질스튜어트 맨 액세서리,#엘칸토,#슈트 팬츠/슬랙스,#안경 소품,#디퓨저/캔들,#셔츠/블라우스,#팔찌,#숄더백,#샌들",https://image.msscdn.net/images/codimap/detail/5105/detail_5105_1_500.jpg?202307132307
106,캐주얼,프린팅 포인트,21.05.14,"4,363",4,오버 핏 반팔 티셔츠에 유니크한 프린팅의 데님 팬츠를 더해 완성한 캐주얼 룩,"#봄,#캐주얼,#비바스튜디오,#몬스터리퍼블릭,#목걸이/펜던트,#백팩",https://image.msscdn.net/images/codimap/detail/3169/detail_3169_1_500.jpg?202307132307
107,포멀,미니멀 감각,22.01.14,"2,947",4,블루 컬러가 돋보이는 니트와 슬랙스를 매치하고 토트백으로 마무리한 포멀 룩,"#단정한,#격식,#출근룩,#레더,#오버핏,#얼죽코,#레이어드룩,#슬림핏,#겨울,#포멀,#제이반스 클래식,#로에일,#세인트 갤러리,#비비엔디,#더니트컴퍼니,#수아레,#머플러,#반소매 티셔츠,#긴소매 티셔츠,#토트백,#구두,#슈트 팬츠/슬랙스,#니트/스웨터,#겨울 싱글 코트",https://image.msscdn.net/images/codimap/detail/11363/detail_11363_1_500.jpg?202307132307
108,캐주얼,여름 캐주얼 룩,21.05.28,"10,307",4,로고 프린팅 티셔츠와 데님 팬츠를 코디하고 플립플랍으로 마무리한 캐주얼 룩,"#찢청,#로고플레이,#봄,#캐주얼,#겐지,#문수권세컨,#피그앤헨,#에이카화이트,#뉴발란스,#선글라스,#데님 팬츠,#안경 소품,#팔찌,#반소매 티셔츠",https://image.msscdn.net/images/codimap/detail/3348/detail_3348_1_500.jpg?202307132307
